feature,median
SpAbs_DzZ,475.7374373504488
SpMax_DzZ,238.6146686934706
SpDiam_DzZ,344.2119930679508
SpAD_DzZ,477.3038464778282
SpMAD_DzZ,11.74387673444024
LogEE_DzZ,238.6146686934706
SM1_DzZ,1.6517857142857144
VE1_DzZ,6.2308271953218
VE2_DzZ,0.1539310730957967
VE3_DzZ,3.217460464398556
VR1_DzZ,311.99836393526107
VR2_DzZ,7.645495472196018
VR3_DzZ,7.142524744302476
SpAbs_Dzm,475.7074679467559
SpMax_Dzm,238.5611281061108
SpDiam_Dzm,344.4952311612667
SpAD_Dzm,477.3544168313693
SpMAD_Dzm,11.748064691079234
LogEE_Dzm,238.5611281061108
SM1_Dzm,1.6542585818167177
VE1_Dzm,6.230770094031112
VE2_Dzm,0.1539309723739527
VE3_Dzm,3.217150324945981
VR1_Dzm,312.0016956247425
VR2_Dzm,7.645536866540167
VR3_Dzm,7.142526543619798
SpAbs_Dzv,602.9766499540651
SpMax_Dzv,300.1313566142443
SpDiam_Dzv,435.43738191802674
SpAD_Dzv,600.929862052541
SpMAD_Dzv,14.829488013107005
LogEE_Dzv,300.1313566142443
SM1_Dzv,-2.848701185928155
VE1_Dzv,6.221977620881297
VE2_Dzv,0.1537592730896574
VE3_Dzv,3.218726185357559
VR1_Dzv,312.540372935478
VR2_Dzv,7.68989502573526
VR3_Dzv,7.143694147007599
SpAbs_Dzse,491.47209346056377
SpMax_Dzse,245.608685124688
SpDiam_Dzse,358.4028675026994
SpAD_Dzse,492.1654089408032
SpMAD_Dzse,12.15189301050676
LogEE_Dzse,245.608685124688
SM1_Dzse,1.478830552222472
VE1_Dzse,6.196685423621261
VE2_Dzse,0.1544765476298953
VE3_Dzse,3.210308862398295
VR1_Dzse,308.2631199380387
VR2_Dzse,7.609975570063202
VR3_Dzse,7.117907494229178
SpAbs_Dzpe,485.7555987174833
SpMax_Dzpe,243.60470931465352
SpDiam_Dzpe,353.89546714723275
SpAD_Dzpe,487.3955122038674
SpMAD_Dzpe,11.953160600945164
LogEE_Dzpe,243.60470931465352
SM1_Dzpe,1.611842105263158
VE1_Dzpe,6.236599146661055
VE2_Dzpe,0.1539875712124848
VE3_Dzpe,3.217441104990008
VR1_Dzpe,310.9164792154746
VR2_Dzpe,7.644668551758038
VR3_Dzpe,7.141781922184857
SpAbs_Dzare,481.6177470890136
SpMax_Dzare,241.1505894720463
SpDiam_Dzare,350.234113843203
SpAD_Dzare,483.17984945915646
SpMAD_Dzare,11.821486917079426
LogEE_Dzare,241.1505894720463
SM1_Dzare,1.7043434836395823
VE1_Dzare,6.236327435630625
VE2_Dzare,0.1540069493273123
VE3_Dzare,3.217406884339104
VR1_Dzare,310.82883555754506
VR2_Dzare,7.642858085246896
VR3_Dzare,7.139271650862234
SpAbs_Dzp,659.148102347346
SpMax_Dzp,326.54775520475056
SpDiam_Dzp,475.16455322334815
SpAD_Dzp,656.167506278426
SpMAD_Dzp,16.14096609976128
LogEE_Dzp,326.54775520475056
SM1_Dzp,-5.79186125595103
VE1_Dzp,6.215148846547223
VE2_Dzp,0.1536577156214683
VE3_Dzp,3.219396956217993
VR1_Dzp,312.94079467442447
VR2_Dzp,7.720432765138327
VR3_Dzp,7.14926793046031
SpAbs_Dzi,473.3897019693598
SpMax_Dzi,237.346524451511
SpDiam_Dzi,345.3712422825241
SpAD_Dzi,475.3525841084305
SpMAD_Dzi,11.70954573863063
LogEE_Dzi,237.346524451511
SM1_Dzi,1.7525383144768494
VE1_Dzi,6.236150747835997
VE2_Dzi,0.1539829392888138
VE3_Dzi,3.217430899741268
VR1_Dzi,310.32406957664443
VR2_Dzi,7.647020144823625
VR3_Dzi,7.141646308127695
BertzCT,1518.759031817189
nBonds,79.0
nBondsO,45.0
nBondsS,51.0
nBondsD,2.0
nBondsA,23.0
nBondsM,25.0
nBondsKS,65.0
nBondsKD,12.0
RNCG,0.1258556787524066
RPCG,0.0656450947145612
C1SP2,3.0
C2SP2,14.0
C3SP2,4.0
C1SP3,5.0
C2SP3,2.0
C3SP3,0.0
HybRatio,0.2926829268292683
FCSP3,0.2926829268292683
Xch-5d,0.0785674201318386
Xch-6d,0.4819019230097093
Xch-7d,0.8559894537879978
Xch-5dv,0.0279508497187473
Xch-6dv,0.1722409109077621
Xch-7dv,0.2479304259880711
Xc-3d,2.412394481005961
Xc-4d,0.0
Xc-5d,0.5749149571305296
Xc-6d,0.0
Xc-3dv,1.180022104524638
Xc-4dv,0.0
Xc-5dv,0.1667779805720223
Xc-6dv,0.0
Xpc-4d,5.933530716615381
Xpc-5d,9.746642806858151
Xpc-6d,15.49946831034491
Xpc-4dv,2.360961447169059
Xpc-5dv,3.255152008606602
Xpc-6dv,4.215149541049576
Xp-0d,28.22503939238571
Xp-1d,19.61932617617863
Xp-2d,17.62382341824259
Xp-3d,14.93892136302306
Xp-4d,12.74474985061312
Xp-5d,10.53940457133741
Xp-6d,7.699931996212583
Xp-7d,5.997498782467496
AXp-0d,0.6924472745342043
AXp-1d,0.4357409218278073
AXp-2d,0.278137147472469
AXp-3d,0.1752952069983905
AXp-4d,0.109795260167613
AXp-5d,0.0693309593313816
AXp-6d,0.0436427563785135
AXp-7d,0.0277810954391216
Xp-0dv,23.24079255212344
Xp-1dv,14.20731083336013
Xp-2dv,10.8102902732696
Xp-3dv,7.647011551321423
Xp-4dv,5.491019159533772
Xp-5dv,3.812977252166796
Xp-6dv,2.343608446535616
Xp-7dv,1.550560410668979
AXp-0dv,0.5751064267294268
AXp-1dv,0.3126570427806329
AXp-2dv,0.1680966133551042
AXp-3dv,0.0890860602591583
AXp-4dv,0.0471342260057232
AXp-5dv,0.0246980251375468
AXp-6dv,0.0129758225355915
AXp-7dv,0.0068489230876051
SZ,49.00000000000001
Sm,46.26817084339355
Sv,47.31259902300022
Sse,73.65258557902403
Spe,71.6078431372549
Sare,72.396
Sp,50.86427604790418
Si,83.22312567160733
MZ,0.6613756613756613
Mm,0.6251796963894207
Mv,0.6401521804988193
Mse,1.001153192522457
Mpe,0.9670588235294116
Mare,0.9794761904761904
Mp,0.6816083775306528
Mi,1.126472066733877
SpAbs_D,639.7474694180842
SpMax_D,319.873734709042
SpDiam_D,459.7234885347873
SpAD_D,639.7474694180839
SpMAD_D,15.479254074666969
LogEE_D,319.873734709042
VE1_D,6.238425276779396
VE2_D,0.1544351987682488
VE3_D,3.2173555307773585
VR1_D,308.5213874443185
VR2_D,7.618767235011705
VR3_D,7.13570445474583
NsCH3,2.0
NssCH2,6.0
NdsCH,0.0
NaaCH,10.0
NsssCH,0.0
NdssC,1.0
NaasC,6.0
NaaaC,4.0
NsNH2,0.0
NssNH,1.0
NaaNH,0.0
NdsN,0.0
NaaN,1.0
NsssN,1.0
NaasN,1.0
NsOH,0.0
NdO,2.0
NssO,0.0
NaaO,0.0
NsF,0.0
SsCH3,3.462172672094764
SssCH2,4.335704797610218
SdsCH,0.0
SaaCH,19.04243874169538
SsssCH,0.0
SdssC,0.0
SaasC,3.019424788665063
SaaaC,2.248947406059149
SsNH2,0.0
SssNH,3.673928308977912
SaaNH,0.0
SdsN,0.0
SaaN,4.36258834454715
SsssN,2.205551852005711
SaasN,1.504583209048847
SsOH,0.0
SdO,22.32211625455416
SssO,0.0
SaaO,0.0
SsF,0.0
MAXssCH2,0.9651059775762156
MAXaaCH,2.041561150816991
MAXaasC,0.9451602092091812
MINssCH2,0.4993472830920735
MINaaCH,1.810305772370166
MINaasC,0.5766287881601823
ECIndex,1366.0
ETA_alpha,19.3
AETA_alpha,0.47527808676307
ETA_shape_p,0.0880626223091976
ETA_shape_y,0.3376968771962437
ETA_shape_x,0.0
ETA_beta,50.5
AETA_beta,1.287689393939394
ETA_beta_s,26.75
AETA_beta_s,0.6611111111111111
ETA_beta_ns,24.0
AETA_beta_ns,0.6234756097560976
ETA_beta_ns_d,0.5
AETA_beta_ns_d,0.0172413793103448
ETA_eta,37.76982672718032
AETA_eta,0.9497524377560974
ETA_eta_L,9.246141848494952
AETA_eta_L,0.2317376954978369
ETA_eta_R,81.81520220061104
AETA_eta_R,2.034820907216505
ETA_eta_RL,19.52698356085113
AETA_eta_RL,0.4874538940891117
ETA_eta_F,43.89626467410246
